student_id,study_time_hours,attendance_percent,sleep_hours,previous_grade,final_exam_score,final_grade,final_grade_num,gender_Female,gender_Male,internet_access_No,internet_access_Yes,extracurricular_activities_No,extracurricular_activities_Yes,part_time_job_No,part_time_job_Yes,parental_education_Bachelors,parental_education_High School,parental_education_Masters,parental_education_Not specified,parental_education_PhD,parental_education_temp
20,4.4,77.4,8.4,77.0,92.8,A,5,False,True,True,False,True,False,False,True,False,False,True,False,False,Masters
21,1.9,70.8,5.2,69.8,73.5,C,3,True,False,False,True,False,True,True,False,False,True,False,False,False,High School
22,3.3,100.0,7.8,83.9,100.0,A,5,False,True,False,True,False,True,True,False,False,False,False,True,False,Not specified
23,3.7,81.8,7.8,74.8,73.4,C,3,True,False,True,False,True,False,True,False,False,True,False,False,False,High School
24,4.3,82.5,5.4,61.0,71.2,C,3,True,False,True,False,False,True,True,False,False,False,False,False,True,PhD
25,4.6,98.3,7.8,66.6,97.2,A,5,True,False,False,True,False,True,False,True,False,False,False,True,False,Not specified
26,1.8,90.6,8.6,53.2,76.0,C,3,True,False,False,True,True,False,True,False,False,True,False,False,False,High School
27,1.2,89.6,5.5,68.7,78.7,C,3,True,False,False,True,True,False,False,True,False,False,True,False,False,Masters
28,5.4,100.0,5.7,83.3,97.4,A,5,True,False,True,False,True,False,True,False,False,True,False,False,False,High School
29,4.0,78.6,8.0,78.2,84.2,B,4,True,False,False,True,True,False,True,False,True,False,False,False,False,Bachelors
30,2.4,94.3,7.1,86.8,89.8,B,4,True,False,False,True,False,True,True,False,True,False,False,False,False,Bachelors
31,5.8,85.6,7.5,66.4,82.4,B,4,False,True,False,True,True,False,False,True,True,False,False,False,False,Bachelors
32,3.7,87.7,7.2,86.2,87.7,B,4,False,True,False,True,False,True,True,False,False,False,False,True,False,Not specified
33,5.3,100.0,7.3,67.7,100.0,A,5,True,False,False,True,False,True,True,False,False,False,True,False,False,Masters
34,3.6,90.1,5.2,87.7,93.3,A,5,True,False,True,False,False,True,True,False,True,False,False,False,False,Bachelors
35,6.6,90.4,8.1,69.7,100.0,A,5,True,False,False,True,False,True,False,True,False,False,True,False,False,Masters
36,6.1,95.7,8.2,78.5,92.9,A,5,False,True,False,True,False,True,False,True,False,False,False,True,False,Not specified
37,3.1,81.4,6.5,87.7,83.2,B,4,True,False,False,True,True,False,False,True,False,True,False,False,False,High School
38,5.0,76.6,6.7,67.7,81.1,B,4,False,True,False,True,False,True,True,False,False,False,False,True,False,Not specified
39,4.5,74.6,5.0,72.6,89.5,B,4,False,True,False,True,False,True,False,True,False,True,False,False,False,High School
40,5.6,65.3,7.4,85.5,91.6,A,5,False,True,False,True,False,True,True,False,False,False,True,False,False,Masters
41,2.1,100.0,7.5,68.4,75.3,C,3,False,True,False,True,False,True,False,True,False,True,False,False,False,High School
42,4.5,74.0,6.7,54.1,79.0,C,3,False,True,False,True,True,False,True,False,False,True,False,False,False,High School
43,5.1,82.8,8.1,95.7,100.0,A,5,True,False,False,True,False,True,True,False,True,False,False,False,False,Bachelors
44,0.9,82.2,6.4,64.4,79.2,C,3,True,False,False,True,False,True,True,False,True,False,False,False,False,Bachelors
45,1.7,88.1,7.5,71.9,70.8,C,3,True,False,True,False,False,True,True,False,True,False,False,False,False,Bachelors
46,0.5,93.2,5.6,83.9,61.8,D,2,True,False,True,False,True,False,False,True,False,True,False,False,False,High School
47,3.1,93.6,6.8,62.7,68.0,D,2,True,False,False,True,False,True,False,True,True,False,False,False,False,Bachelors
48,4.6,79.2,6.6,57.9,80.3,B,4,False,True,False,True,False,True,False,True,False,False,False,True,False,Not specified
49,5.8,83.3,7.1,73.0,88.6,B,4,True,False,True,False,False,True,True,False,True,False,False,False,False,Bachelors
50,3.6,87.8,6.4,48.5,69.4,D,2,True,False,False,True,False,True,True,False,False,True,False,False,False,High School
51,5.9,82.5,6.6,66.5,100.0,A,5,False,True,False,True,False,True,True,False,True,False,False,False,False,Bachelors
52,1.4,100.0,7.8,72.9,81.8,B,4,True,False,True,False,True,False,True,False,False,True,False,False,False,High School
53,0.9,89.9,6.3,66.8,72.6,C,3,False,True,False,True,True,False,True,False,False,False,True,False,False,Masters
54,3.4,92.3,4.9,51.5,85.3,B,4,True,False,False,True,True,False,True,False,False,False,True,False,False,Masters
55,4.1,91.6,8.9,89.1,99.8,A,5,False,True,True,False,False,True,True,False,True,False,False,False,False,Bachelors
56,3.5,96.7,8.5,71.2,84.3,B,4,True,False,False,True,False,True,False,True,True,False,False,False,False,Bachelors
57,0.5,86.8,5.2,87.2,71.5,C,3,True,False,False,True,False,True,True,False,False,False,True,False,False,Masters
58,3.4,72.0,7.6,66.9,84.3,B,4,False,True,False,True,True,False,True,False,True,False,False,False,False,Bachelors
59,1.5,89.0,6.2,59.4,74.5,C,3,False,True,False,True,True,False,True,False,False,False,True,False,False,Masters
60,4.5,78.5,7.1,73.2,89.5,B,4,False,True,False,True,True,False,True,False,True,False,False,False,False,Bachelors
61,4.0,79.7,7.2,67.4,80.4,B,4,False,True,False,True,False,True,True,False,False,False,True,False,False,Masters
62,2.1,90.9,6.5,55.9,71.1,C,3,False,True,True,False,False,True,False,True,True,False,False,False,False,Bachelors
63,2.7,97.4,5.9,87.6,87.8,B,4,False,True,False,True,False,True,True,False,True,False,False,False,False,Bachelors
64,1.9,85.2,6.0,62.5,73.0,C,3,False,True,False,True,True,False,True,False,False,False,False,True,False,Not specified
65,3.4,88.1,5.7,47.9,80.8,B,4,False,True,False,True,True,False,False,True,True,False,False,False,False,Bachelors
66,4.9,100.0,5.8,85.9,97.4,A,5,True,False,False,True,True,False,True,False,True,False,False,False,False,Bachelors
67,2.0,87.4,6.7,63.9,67.8,D,2,True,False,False,True,False,True,True,False,False,True,False,False,False,High School
68,4.3,100.0,5.9,62.7,79.2,C,3,False,True,True,False,False,True,True,False,True,False,False,False,False,Bachelors
69,2.7,90.7,7.6,48.8,73.5,C,3,True,False,True,False,True,False,False,True,True,False,False,False,False,Bachelors
70,2.3,67.4,8.6,90.9,85.1,B,4,True,False,False,True,True,False,True,False,False,True,False,False,False,High School
71,3.3,92.5,6.1,54.5,79.6,C,3,True,False,False,True,False,True,True,False,False,True,False,False,False,High School
72,1.9,88.8,7.1,70.7,77.4,C,3,True,False,False,True,False,True,True,False,True,False,False,False,False,Bachelors
73,2.7,97.9,7.4,81.0,94.6,A,5,False,True,False,True,False,True,True,False,False,False,True,False,False,Masters
74,1.7,91.7,7.4,75.1,77.6,C,3,True,False,False,True,False,True,True,False,True,False,False,False,False,Bachelors
75,6.4,83.6,6.9,69.3,99.9,A,5,False,True,False,True,False,True,True,False,False,True,False,False,False,High School
76,3.6,72.8,7.7,49.6,64.4,D,2,True,False,True,False,True,False,True,False,False,False,True,False,False,Masters
77,2.5,82.9,7.4,60.3,71.9,C,3,True,False,False,True,False,True,True,False,False,True,False,False,False,High School
78,3.8,76.5,5.3,72.3,79.3,C,3,True,False,False,True,False,True,True,False,True,False,False,False,False,Bachelors
79,3.3,79.2,7.8,60.6,74.9,C,3,False,True,False,True,False,True,False,True,False,True,False,False,False,High School
80,3.2,90.9,7.9,72.4,87.4,B,4,True,False,False,True,True,False,True,False,False,True,False,False,False,High School
81,4.4,100.0,5.9,78.2,97.6,A,5,False,True,False,True,True,False,True,False,False,True,False,False,False,High School
82,4.6,88.9,6.8,81.6,74.5,C,3,True,False,False,True,False,True,True,False,True,False,False,False,False,Bachelors
83,2.7,73.0,7.6,55.3,64.1,D,2,False,True,False,True,True,False,False,True,False,True,False,False,False,High School
84,2.6,89.4,6.5,96.4,90.0,A,5,True,False,False,True,True,False,True,False,True,False,False,False,False,Bachelors
85,3.1,97.0,8.1,79.2,99.3,A,5,False,True,False,True,False,True,False,True,True,False,False,False,False,Bachelors
86,0.5,78.9,9.6,70.0,63.9,D,2,False,True,False,True,False,True,False,True,True,False,False,False,False,Bachelors
87,1.2,83.7,5.9,83.1,79.0,C,3,True,False,False,True,True,False,True,False,True,False,False,False,False,Bachelors
88,5.6,85.1,5.1,98.4,100.0,A,5,False,True,False,True,True,False,True,False,False,False,True,False,False,Masters
89,6.0,77.2,7.2,52.7,78.9,C,3,True,False,False,True,True,False,True,False,False,True,False,False,False,High School
90,3.1,91.5,7.7,67.3,84.5,B,4,True,False,False,True,True,False,False,True,True,False,False,False,False,Bachelors
91,4.4,83.8,6.5,41.5,71.7,C,3,True,False,False,True,True,False,True,False,False,True,False,False,False,High School
92,4.0,89.2,8.5,72.3,86.3,B,4,True,False,False,True,False,True,False,True,False,True,False,False,False,High School
93,8.1,76.1,5.2,74.4,98.3,A,5,True,False,False,True,False,True,True,False,True,False,False,False,False,Bachelors
94,5.2,80.6,7.6,69.5,88.1,B,4,True,False,False,True,False,True,True,False,True,False,False,False,False,Bachelors
95,3.3,92.2,6.1,62.1,99.6,A,5,True,False,False,True,False,True,True,False,False,False,False,False,True,PhD
96,2.1,81.3,8.9,45.4,74.8,C,3,True,False,False,True,True,False,True,False,True,False,False,False,False,Bachelors
97,1.1,100.0,9.2,74.5,87.4,B,4,True,False,False,True,True,False,False,True,False,False,False,True,False,Not specified
98,3.8,81.0,5.9,87.5,88.5,B,4,True,False,True,False,True,False,True,False,False,True,False,False,False,High School
99,2.4,87.2,6.1,62.9,65.2,D,2,True,False,False,True,False,True,False,True,False,True,False,False,False,High School
100,1.4,94.3,7.8,75.3,79.2,C,3,False,True,True,False,True,False,True,False,False,True,False,False,False,High School
101,2.5,70.8,6.3,51.2,74.5,C,3,False,True,False,True,False,True,True,False,False,True,False,False,False,High School
102,1.9,67.4,6.7,75.5,66.3,D,2,True,False,False,True,False,True,False,True,True,False,False,False,False,Bachelors
103,6.0,69.7,6.8,65.3,89.5,B,4,True,False,True,False,True,False,True,False,True,False,False,False,False,Bachelors
104,4.8,97.6,4.5,60.9,92.7,A,5,True,False,False,True,True,False,True,False,False,True,False,False,False,High School
105,3.5,79.5,6.8,60.9,87.2,B,4,True,False,False,True,True,False,False,True,False,False,False,True,False,Not specified
106,5.7,100.0,6.0,65.3,92.5,A,5,True,False,False,True,False,True,False,True,False,False,True,False,False,Masters
107,3.6,79.4,6.2,74.6,75.7,C,3,True,False,False,True,False,True,False,True,False,True,False,False,False,High School
108,2.2,86.8,8.5,54.3,74.0,C,3,True,False,False,True,False,True,True,False,False,True,False,False,False,High School
109,5.8,100.0,5.3,65.2,100.0,A,5,True,False,False,True,False,True,True,False,False,True,False,False,False,High School
110,4.3,100.0,7.8,69.5,75.5,C,3,False,True,True,False,True,False,False,True,False,True,False,False,False,High School
111,1.9,100.0,6.5,56.8,61.7,D,2,True,False,False,True,True,False,False,True,False,True,False,False,False,High School
112,3.2,97.1,6.5,91.6,91.4,A,5,False,True,True,False,True,False,True,False,True,False,False,False,False,Bachelors
113,2.2,95.2,7.7,59.8,72.7,C,3,True,False,True,False,False,True,True,False,False,True,False,False,False,High School
114,1.4,90.9,7.2,62.0,74.6,C,3,True,False,False,True,True,False,True,False,True,False,False,False,False,Bachelors
115,4.9,92.8,7.5,58.3,96.5,A,5,False,True,False,True,False,True,True,False,False,False,False,True,False,Not specified
116,6.4,79.5,8.0,91.6,94.5,A,5,True,False,True,False,True,False,False,True,False,False,True,False,False,Masters
117,1.4,76.8,6.4,76.6,59.3,F,1,False,True,True,False,False,True,True,False,False,False,False,True,False,Not specified
118,4.3,85.0,6.1,58.8,96.2,A,5,True,False,False,True,False,True,True,False,False,True,False,False,False,High School
119,2.5,83.3,5.5,83.3,75.3,C,3,True,False,False,True,False,True,False,True,True,False,False,False,False,Bachelors
120,2.8,80.5,5.8,72.4,73.3,C,3,False,True,False,True,True,False,True,False,True,False,False,False,False,Bachelors
121,2.6,92.0,10.0,73.1,95.8,A,5,True,False,False,True,False,True,True,False,False,True,False,False,False,High School
122,2.2,94.6,8.3,65.9,81.0,B,4,False,True,False,True,False,True,True,False,False,True,False,False,False,High School
123,3.6,85.9,5.2,61.0,76.5,C,3,True,False,False,True,True,False,False,True,False,False,True,False,False,Masters
124,2.3,99.8,5.2,74.1,88.1,B,4,False,True,False,True,False,True,True,False,True,False,False,False,False,Bachelors
125,3.9,73.6,7.4,63.5,88.1,B,4,False,True,False,True,False,True,True,False,True,False,False,False,False,Bachelors
126,3.4,83.1,7.5,91.8,92.1,A,5,True,False,False,True,False,True,True,False,True,False,False,False,False,Bachelors
127,3.1,77.8,7.5,54.8,85.2,B,4,True,False,False,True,False,True,True,False,True,False,False,False,False,Bachelors
128,2.1,66.3,6.5,88.4,63.0,D,2,False,True,False,True,True,False,False,True,False,True,False,False,False,High School
129,2.6,84.2,6.6,68.7,81.1,B,4,True,False,False,True,True,False,False,True,False,True,False,False,False,High School
130,4.6,83.8,7.2,73.6,87.1,B,4,True,False,False,True,False,True,True,False,False,True,False,False,False,High School
131,4.3,100.0,6.9,80.0,100.0,A,5,True,False,False,True,True,False,False,True,False,True,False,False,False,High School
132,2.0,91.3,4.1,62.4,75.7,C,3,False,True,False,True,False,True,True,False,False,False,False,True,False,Not specified
133,3.6,74.8,6.5,80.4,77.3,C,3,False,True,True,False,False,True,True,False,True,False,False,False,False,Bachelors
134,4.6,100.0,5.8,37.5,85.6,B,4,False,True,False,True,False,True,True,False,False,False,True,False,False,Masters
135,1.0,97.2,7.0,61.4,80.8,B,4,False,True,False,True,False,True,True,False,False,True,False,False,False,High School
136,4.3,90.8,10.0,58.9,94.5,A,5,False,True,False,True,False,True,True,False,True,False,False,False,False,Bachelors
137,2.5,82.7,7.2,55.0,59.7,F,1,False,True,True,False,True,False,False,True,False,True,False,False,False,High School
138,4.4,75.4,6.4,67.4,80.9,B,4,False,True,False,True,True,False,True,False,False,True,False,False,False,High School
139,2.4,81.3,7.9,74.6,82.6,B,4,False,True,False,True,False,True,True,False,False,True,False,False,False,High School
140,0.8,95.9,7.4,78.4,80.2,B,4,False,True,False,True,True,False,True,False,False,False,True,False,False,Masters
141,1.1,100.0,7.3,72.9,82.4,B,4,True,False,False,True,True,False,False,True,False,False,True,False,False,Masters
142,3.6,100.0,7.5,62.0,75.9,C,3,False,True,False,True,True,False,True,False,True,False,False,False,False,Bachelors
143,3.9,80.1,9.3,74.4,88.5,B,4,True,False,False,True,True,False,False,True,True,False,False,False,False,Bachelors
144,2.1,73.8,5.4,71.5,69.6,D,2,True,False,False,True,False,True,False,True,False,False,False,True,False,Not specified
145,4.5,86.4,7.4,81.2,86.8,B,4,True,False,False,True,True,False,False,True,False,True,False,False,False,High School
146,1.0,67.3,5.7,79.3,65.2,D,2,False,True,False,True,True,False,True,False,False,True,False,False,False,High School
147,3.4,88.2,7.5,70.4,82.0,B,4,False,True,False,True,True,False,False,True,False,True,False,False,False,High School
148,1.7,83.5,5.7,59.2,46.8,F,1,False,True,False,True,False,True,False,True,False,False,True,False,False,Masters
149,2.5,80.3,6.3,62.2,68.6,D,2,False,True,False,True,False,True,False,True,False,False,False,True,False,Not specified
150,3.6,69.1,6.4,63.4,69.2,D,2,True,False,False,True,False,True,False,True,False,True,False,False,False,High School
151,2.2,90.1,8.0,66.2,84.7,B,4,False,True,False,True,False,True,True,False,False,False,False,False,True,PhD
152,2.9,79.7,7.9,73.2,75.9,C,3,False,True,False,True,False,True,False,True,False,False,True,False,False,Masters
153,5.0,73.3,5.3,78.6,84.7,B,4,False,True,False,True,True,False,False,True,False,True,False,False,False,High School
154,2.6,56.3,6.9,69.4,75.7,C,3,False,True,True,False,False,True,True,False,True,False,False,False,False,Bachelors
155,4.8,84.7,5.9,70.2,95.4,A,5,False,True,False,True,True,False,True,False,True,False,False,False,False,Bachelors
156,1.8,100.0,5.3,71.7,87.6,B,4,True,False,False,True,False,True,True,False,False,False,False,True,False,Not specified
157,4.3,100.0,6.5,63.8,87.7,B,4,False,True,False,True,True,False,True,False,False,True,False,False,False,High School
158,5.7,80.4,6.4,58.9,89.3,B,4,True,False,False,True,False,True,False,True,False,False,True,False,False,Masters
159,0.5,79.0,9.7,48.9,63.7,D,2,False,True,False,True,False,True,True,False,False,True,False,False,False,High School
160,2.3,89.7,7.3,61.7,74.0,C,3,True,False,False,True,True,False,False,True,False,False,True,False,False,Masters
161,4.4,75.0,5.1,75.7,87.9,B,4,False,True,False,True,True,False,True,False,True,False,False,False,False,Bachelors
162,3.2,88.0,6.1,61.6,76.6,C,3,False,True,False,True,True,False,True,False,True,False,False,False,False,Bachelors
163,4.1,92.7,8.0,67.1,97.3,A,5,True,False,False,True,False,True,False,True,False,False,True,False,False,Masters
164,2.6,97.3,9.3,75.6,90.2,A,5,True,False,False,True,False,True,True,False,False,False,True,False,False,Masters
165,3.6,84.0,4.9,76.2,88.7,B,4,True,False,False,True,True,False,True,False,False,False,False,False,True,PhD
166,3.3,83.0,4.5,57.0,84.8,B,4,False,True,False,True,False,True,True,False,False,True,False,False,False,High School
167,5.3,76.2,9.0,82.0,100.0,A,5,True,False,False,True,True,False,True,False,False,False,True,False,False,Masters
168,3.9,76.7,7.3,83.5,82.1,B,4,False,True,False,True,False,True,True,False,False,True,False,False,False,High School
169,4.0,82.7,5.8,56.4,75.1,C,3,False,True,True,False,False,True,False,True,True,False,False,False,False,Bachelors
170,2.9,88.7,7.4,60.1,78.1,C,3,True,False,True,False,False,True,False,True,True,False,False,False,False,Bachelors
171,2.8,94.1,3.6,84.3,92.9,A,5,True,False,False,True,False,True,True,False,True,False,False,False,False,Bachelors
172,2.9,77.0,6.8,68.2,71.8,C,3,False,True,False,True,True,False,True,False,True,False,False,False,False,Bachelors
173,4.1,99.9,7.2,43.4,78.5,C,3,False,True,False,True,True,False,True,False,False,False,False,True,False,Not specified
174,2.9,82.3,7.9,53.2,82.6,B,4,True,False,False,True,False,True,True,False,False,True,False,False,False,High School
175,3.9,84.8,5.6,67.0,79.2,C,3,True,False,False,True,True,False,True,False,False,False,True,False,False,Masters
176,6.6,77.5,6.9,56.0,89.7,B,4,True,False,False,True,False,True,True,False,True,False,False,False,False,Bachelors
177,4.8,60.8,5.7,65.0,89.2,B,4,False,True,False,True,False,True,True,False,False,True,False,False,False,High School
178,3.0,93.8,7.1,70.4,81.7,B,4,False,True,True,False,False,True,True,False,False,True,False,False,False,High School
179,5.3,92.4,5.7,87.5,96.7,A,5,False,True,False,True,True,False,True,False,False,False,False,True,False,Not specified
180,2.9,82.2,6.3,66.5,73.7,C,3,False,True,False,True,True,False,True,False,False,False,False,False,True,PhD
181,0.5,85.7,5.6,82.9,77.1,C,3,False,True,False,True,True,False,True,False,False,False,False,True,False,Not specified
182,2.0,90.2,7.6,87.1,76.5,C,3,False,True,False,True,True,False,False,True,False,False,False,True,False,Not specified
183,0.7,69.4,7.8,87.2,73.2,C,3,True,False,False,True,True,False,True,False,False,True,False,False,False,High School
184,3.0,79.7,6.5,73.4,83.6,B,4,False,True,False,True,True,False,True,False,True,False,False,False,False,Bachelors
185,3.5,92.9,6.8,46.4,85.8,B,4,False,True,False,True,True,False,True,False,False,False,True,False,False,Masters
186,6.0,72.5,5.1,75.5,95.7,A,5,False,True,False,True,True,False,True,False,True,False,False,False,False,Bachelors
187,4.0,87.9,6.4,82.6,89.2,B,4,True,False,False,True,False,True,True,False,True,False,False,False,False,Bachelors
188,3.2,71.4,6.7,69.0,83.1,B,4,False,True,False,True,False,True,False,True,True,False,False,False,False,Bachelors
189,4.7,89.7,9.9,90.9,100.0,A,5,False,True,False,True,False,True,True,False,True,False,False,False,False,Bachelors
190,0.5,84.6,5.5,80.3,67.2,D,2,True,False,False,True,False,True,True,False,True,False,False,False,False,Bachelors
191,3.9,68.8,8.6,76.8,84.6,B,4,False,True,False,True,True,False,True,False,False,True,False,False,False,High School
192,4.7,96.6,8.0,83.0,100.0,A,5,False,True,False,True,False,True,False,True,True,False,False,False,False,Bachelors
193,1.3,77.7,7.1,74.0,75.2,C,3,False,True,False,True,True,False,True,False,True,False,False,False,False,Bachelors
194,5.2,76.9,8.9,40.1,81.1,B,4,False,True,False,True,False,True,True,False,True,False,False,False,False,Bachelors
195,4.0,87.0,7.2,64.0,96.5,A,5,False,True,False,True,False,True,True,False,False,True,False,False,False,High School
196,2.9,96.5,7.3,84.4,79.8,C,3,True,False,True,False,False,True,True,False,False,False,True,False,False,Masters
197,4.4,74.8,6.7,60.3,73.4,C,3,True,False,False,True,True,False,True,False,False,True,False,False,False,High School
198,6.9,85.6,8.3,67.3,92.2,A,5,True,False,False,True,False,True,True,False,True,False,False,False,False,Bachelors
199,3.8,89.3,8.1,57.5,87.3,B,4,False,True,False,True,False,True,True,False,False,False,True,False,False,Masters
200,3.9,91.9,6.0,91.4,92.5,A,5,False,True,True,False,True,False,True,False,True,False,False,False,False,Bachelors
201,2.8,86.8,5.2,90.2,94.6,A,5,False,True,False,True,True,False,False,True,False,True,False,False,False,High School
202,2.2,81.3,6.6,59.4,75.5,C,3,True,False,False,True,False,True,True,False,False,False,True,False,False,Masters
203,4.7,76.7,5.8,71.8,85.3,B,4,False,True,False,True,False,True,True,False,True,False,False,False,False,Bachelors
204,2.2,85.9,6.7,61.8,76.7,C,3,False,True,False,True,False,True,True,False,False,False,True,False,False,Masters
205,3.6,74.3,8.3,77.4,86.8,B,4,True,False,False,True,True,False,True,False,False,False,True,False,False,Masters
206,2.8,55.8,6.3,76.1,61.1,D,2,False,True,False,True,False,True,False,True,True,False,False,False,False,Bachelors
207,4.2,89.4,6.7,79.7,100.0,A,5,True,False,False,True,False,True,False,True,True,False,False,False,False,Bachelors
208,4.0,94.0,6.9,74.0,90.9,A,5,True,False,True,False,False,True,True,False,False,True,False,False,False,High School
209,5.1,61.4,7.8,100.0,96.1,A,5,True,False,False,True,False,True,False,True,False,True,False,False,False,High School
210,2.7,74.9,4.1,57.7,73.1,C,3,False,True,False,True,True,False,True,False,True,False,False,False,False,Bachelors
211,3.1,91.2,6.1,49.5,81.2,B,4,False,True,False,True,False,True,True,False,True,False,False,False,False,Bachelors
212,2.0,100.0,7.1,65.3,81.8,B,4,False,True,False,True,False,True,True,False,True,False,False,False,False,Bachelors
213,2.8,85.2,8.2,51.2,70.0,C,3,False,True,False,True,False,True,False,True,False,True,False,False,False,High School
214,4.1,77.7,6.2,52.1,78.5,C,3,False,True,False,True,False,True,False,True,False,True,False,False,False,High School
215,4.6,83.2,4.5,58.0,84.7,B,4,False,True,False,True,False,True,True,False,True,False,False,False,False,Bachelors
216,2.1,98.7,7.5,58.9,74.7,C,3,False,True,False,True,True,False,True,False,False,True,False,False,False,High School
217,4.8,78.5,6.0,58.5,91.2,A,5,True,False,False,True,True,False,True,False,False,False,True,False,False,Masters
218,5.5,77.0,5.4,76.2,93.4,A,5,False,True,False,True,True,False,True,False,False,True,False,False,False,High School
219,4.1,80.2,6.1,63.9,86.8,B,4,True,False,False,True,True,False,True,False,True,False,False,False,False,Bachelors
220,6.3,75.5,6.6,67.8,100.0,A,5,False,True,False,True,True,False,True,False,False,False,False,True,False,Not specified
221,2.3,86.2,6.1,80.7,84.3,B,4,False,True,False,True,False,True,True,False,False,True,False,False,False,High School
222,1.6,100.0,4.2,60.8,71.5,C,3,False,True,True,False,True,False,True,False,True,False,False,False,False,Bachelors
223,0.8,88.2,7.9,66.8,70.5,C,3,True,False,True,False,True,False,False,True,False,True,False,False,False,High School
224,5.7,82.5,8.3,74.4,89.9,B,4,True,False,False,True,True,False,False,True,True,False,False,False,False,Bachelors
225,4.5,82.1,7.6,46.7,81.1,B,4,True,False,False,True,False,True,True,False,True,False,False,False,False,Bachelors
226,3.4,69.4,5.4,41.4,67.4,D,2,True,False,False,True,False,True,True,False,True,False,False,False,False,Bachelors
227,3.9,93.8,6.6,74.2,82.2,B,4,False,True,False,True,True,False,False,True,True,False,False,False,False,Bachelors
228,1.8,84.2,6.8,75.9,90.0,A,5,True,False,False,True,True,False,False,True,False,False,False,False,True,PhD
229,7.2,83.2,7.5,94.8,100.0,A,5,False,True,False,True,True,False,True,False,False,True,False,False,False,High School
230,3.7,100.0,7.6,71.9,82.7,B,4,False,True,False,True,False,True,False,True,False,True,False,False,False,High School
231,3.7,88.0,5.9,79.8,98.3,A,5,True,False,False,True,False,True,True,False,False,False,False,False,True,PhD
232,4.6,77.5,6.9,67.7,91.5,A,5,True,False,False,True,False,True,True,False,True,False,False,False,False,Bachelors
233,4.2,80.7,7.3,73.6,82.2,B,4,True,False,False,True,True,False,True,False,False,False,False,False,True,PhD
234,3.8,96.5,8.5,90.0,100.0,A,5,True,False,False,True,False,True,True,False,True,False,False,False,False,Bachelors
235,2.3,86.1,7.6,44.5,80.2,B,4,True,False,False,True,False,True,True,False,False,False,True,False,False,Masters
236,4.2,70.6,7.7,75.0,85.7,B,4,True,False,False,True,True,False,True,False,True,False,False,False,False,Bachelors
237,6.3,94.2,6.9,95.6,100.0,A,5,True,False,False,True,False,True,True,False,False,False,True,False,False,Masters
238,5.5,78.3,8.5,73.4,84.4,B,4,True,False,False,True,True,False,True,False,False,False,False,True,False,Not specified
239,5.9,100.0,7.3,89.8,100.0,A,5,False,True,False,True,False,True,True,False,True,False,False,False,False,Bachelors
240,2.7,95.8,5.8,62.4,84.6,B,4,True,False,False,True,True,False,False,True,False,True,False,False,False,High School
241,2.0,80.5,8.5,69.6,80.6,B,4,True,False,False,True,True,False,False,True,False,True,False,False,False,High School
